History_ID,Ticket_ID,Status,Updated_Date,Updated_By
1,1,Open,2025-01-31 22:50:17,Deepak Iyer
2,1,In Progress,2025-02-01 17:50:17,Rahul Sundaram
3,1,Resolved,2025-02-02 04:50:17,Yuvaraj Sundaram
4,2,Open,2025-07-23 06:01:29,Yuvaraj Sharma
5,2,In Progress,2025-07-23 08:01:29,Deepak Iyer
6,3,Open,2026-06-06 21:12:47,Preethi Sundaram
7,3,In Progress,2026-06-07 00:12:47,Kiran Sundaram
8,3,Resolved,2026-06-07 02:12:47,Sneha Pillai
9,4,Open,2026-03-14 21:57:43,Deepak Iyer
10,4,In Progress,2026-03-15 14:57:43,Kiran Sundaram
11,4,Resolved,2026-03-16 02:57:43,Gayathri Kumar
12,4,Reopened,2026-03-16 12:57:43,Santosh Reddy
13,5,Open,2025-09-29 15:59:46,Preethi Sundaram
14,5,In Progress,2025-09-30 11:59:46,Gayathri Reddy
15,5,Resolved,2025-09-30 22:59:46,Preethi Reddy
16,5,Closed,2025-10-01 09:59:46,Deepak Reddy
17,6,Open,2026-02-27 16:19:00,Santosh Reddy
18,6,In Progress,2026-02-28 02:19:00,Preethi Reddy
19,6,Resolved,2026-02-28 22:19:00,Yuvaraj Sharma
20,6,Closed,2026-03-01 09:19:00,Preethi Reddy
21,7,Open,2025-08-22 07:49:27,Yuvaraj Sharma
22,7,In Progress,2025-08-22 19:49:27,Nandhini Sharma
23,7,Resolved,2025-08-23 08:49:27,Yuvaraj Sharma
24,7,Closed,2025-08-24 04:49:27,Preethi Reddy
25,8,Open,2026-08-01 01:39:00,Santosh Reddy
26,8,In Progress,2026-08-01 12:39:00,Yuvaraj Sharma
27,8,Resolved,2026-08-02 05:39:00,Preethi Reddy
28,9,Open,2025-06-08 17:19:44,Gayathri Kumar
29,9,In Progress,2025-06-08 18:19:44,Gayathri Kumar
30,9,Resolved,2025-06-09 04:19:44,Kiran Sundaram
31,10,Open,2025-03-13 23:34:05,Preethi Sundaram
32,10,In Progress,2025-03-14 15:34:05,Rahul Sundaram
33,10,Resolved,2025-03-14 23:34:05,Yuvaraj Sharma
34,11,Open,2026-05-11 01:39:14,Preethi Reddy
35,11,In Progress,2026-05-11 11:39:14,Deepak Reddy
36,11,Resolved,2026-05-12 04:39:14,Gayathri Reddy
37,11,Reopened,2026-05-12 15:39:14,Yuvaraj Sharma
38,12,Open,2026-03-13 12:03:42,Santosh Reddy
39,13,Open,2025-01-29 04:36:47,Kiran Sundaram
40,13,In Progress,2025-01-29 10:36:47,Kiran Sundaram
41,13,Resolved,2025-01-30 01:36:47,Gayathri Reddy
42,13,Closed,2025-01-30 15:36:47,Gayathri Kumar
43,14,Open,2025-08-28 18:21:07,Deepak Iyer
44,14,In Progress,2025-08-29 14:21:07,Nandhini Sharma
45,14,Resolved,2025-08-30 05:21:07,Sneha Pillai
46,15,Open,2026-06-15 12:38:40,Sneha Pillai
47,15,In Progress,2026-06-15 22:38:40,Yuvaraj Sundaram
48,16,Open,2026-04-28 08:58:08,Gayathri Kumar
49,16,In Progress,2026-04-29 03:58:08,Deepak Iyer
50,16,Resolved,2026-04-29 18:58:08,Nandhini Sharma
51,16,Closed,2026-04-30 07:58:08,Gayathri Iyer
52,17,Open,2025-11-17 11:43:29,Rahul Sundaram
53,18,Open,2026-06-06 03:58:26,Yuvaraj Sharma
54,18,In Progress,2026-06-06 12:58:26,Gayathri Reddy
55,18,Resolved,2026-06-07 04:58:26,Gayathri Kumar
56,18,Closed,2026-06-07 22:58:26,Deepak Reddy
57,19,Open,2025-10-25 20:05:40,Deepak Reddy
58,19,In Progress,2025-10-26 06:05:40,Preethi Reddy
59,19,Resolved,2025-10-26 12:05:40,Preethi Reddy
60,19,Closed,2025-10-27 03:05:40,Yuvaraj Sharma
61,20,Open,2025-09-30 04:06:19,Preethi Reddy
62,20,In Progress,2025-09-30 12:06:19,Deepak Iyer
63,20,Resolved,2025-10-01 00:06:19,System
64,21,Open,2025-11-07 01:56:39,Gayathri Reddy
